#node1	node2
TUBB	CPPED1
NID1	ITGA3
NID1	MMP15
NID1	MMP7
PLAU	ITGA3
PLAU	SLC2A3
PLAU	STOM
PLAU	ITGA5
PLAU	RAP2B
PLAU	PTPRJ
PLAU	ITGAM
HSPA1A	HSPB1
HSPA1A	IFNGR1
HSPA1A	AR
HSPA1A	JAK2
GNS	CPPED1
ANPEP	GGT5
COL4A1	MSR1
ISLR	TGFB3
ISLR	EGF
ISLR	VEGFA
GALNS	CPPED1
PDLIM5	PRKCE
PDLIM5	DLG2
YBX3	TJP1
NME1	TIAM1
KRT16	KRT19
HSPA1L	AR
HSPA1L	HSPA1A
ASAH1	SPHK1
ASAH1	CST3
ASAH1	DBNL
MFGE8	CST3
ACTA2	CAP2
ACTA2	NOTCH2
ACTA2	NOTCH1
ACTA2	MYLK
HSPB1	PRKD1
HSPB1	HSPA1A
HSPB1	ESR1
RPLP0	DOCK4
FST	RGMB
FST	RGMA
FBN2	ITGA5
CCN2	TGFBR3
CCN2	TGFB3
CCN2	SMAD3
CCN2	TGFBR2
CCN2	ITGAM
CCN2	VEGFA
GDI1	RIN1
GDI1	RHOJ
GDI1	RHOU
GDI1	RAB31
CAPZB	ANK3
CAPZB	ANK2
CAPZB	AR
CAPZB	DBNL
NCL	PLAU
CAPZA1	ANK3
CAPZA1	ANK2
CAPZA1	AR
A2M	TGFB3
A2M	MMP7
A2M	EGF
A2M	RHOJ
A2M	RHOU
A2M	VEGFA
NUCB1	CST3
TUBB4B	AJUBA
TUBB4B	CPPED1
NFASC	ANK3
NFASC	SCN8A
NFASC	ANK2
NFASC	NRCAM
PSME1	NFKBIA
PSME1	SMURF2
PSME1	AJUBA
PSME1	LIMD1
PSME1	TNFRSF12A
CCT8	SPHK1
CCT8	CPPED1
ADIPOQ	NAMPT
ADIPOQ	HBEGF
ADIPOQ	VCAM1
LAMB1	ITGA3
LAMB1	ITGB4
LAMB1	CDH1
LAMB1	EGF
LAMB1	NTN4
LAMB1	DMD
LAMB1	CST3
LAMB1	PIK3R1
LAMB1	PMP22
FKBP1A	TGFBR3
FKBP1A	TGFB3
FKBP1A	ACVR2A
FKBP1A	SMURF2
FKBP1A	SMAD3
FKBP1A	CAV1
FKBP1A	TGFBR2
FKBP1A	ACVRL1
DAG1	CAV3
DAG1	DMD
RPL12	DOCK4
HSPA13	HSPA1A
CNN2	CST3
CNN2	DBNL
PTBP1	CASP1
CTHRC1	FZD5
CTHRC1	ROR2
AGT	BDKRB1
AGT	PTGER1
AGT	ANPEP
AGT	S1PR1
AGT	GRM5
AGT	ADRA1B
AGT	P2RY2
AGT	ADCY4
AGT	AGTRAP
AGT	F2R
AGT	HTR1F
AGT	TAS1R1
AGT	NPY2R
AGT	SSTR2
AGT	ADORA1
AGT	GNAI3
AGT	LPAR1
AGT	S1PR3
AGT	HRH1
AGT	AGTR1
AGT	PIK3R1
AGT	GPR68
AGT	BDKRB2
AGT	FPR1
AGT	P2RY6
PSMA7	NFKBIA
PSMA7	SMURF2
PSMA7	AJUBA
PSMA7	LIMD1
PSMA7	TNFRSF12A
PABPC1	HSPB1
PABPC1	HSPA1A
CHRDL1	RGMB
CHRDL1	CST3
CHRDL1	RGMA
MAN2B1	CPPED1
PRDX2	CDK5
RPLP2	DOCK4
MXRA8	CST3
CAP1	CAP2
CAP1	CPPED1
C4A	CST3
TXNDC5	HIP1R
TXNDC5	SORT1
TXNDC5	CPPED1
GOLM1	CST3
IGFBP5	CST3
ARHGDIA	RHOJ
ARHGDIA	RHOU
CYCS	HSPB1
CYCS	SORT1
CYCS	PPP1CB
KRT4	KRT19
CLU	TGFB3
CLU	EGF
CLU	VEGFA
ATP6AP2	SLC2A3
ATP6AP2	STOM
ATP6AP2	RAP2B
ATP6AP2	PLAU
ATP6AP2	ITGAM
AP2B1	EFNB1
AP2B1	HIP1R
AP2B1	EGF
AP2B1	FNBP1L
AP2B1	DAB2
AP2B1	EPHB3
AP2B1	SYNJ2
AP2B1	AMPH
AP2B1	FZD5
AP2B1	DNM3
AP2B1	ROR2
AP2B1	ITSN1
AP2B1	RDX
AP2B1	AGTR1
AK3	NT5E
PSMA6	NFKBIA
PSMA6	SMURF2
PSMA6	AJUBA
PSMA6	LIMD1
PSMA6	TNFRSF12A
IGFBP4	CST3
SMPD1	PIK3R1
MYL12A	EFNB1
MYL12A	EPHB3
MYL12A	MYLK
MYL12A	PPP1CB
DPP7	CPPED1
LBP	TLR4
LBP	ITGAM
NEO1	RGMB
NEO1	UNC5B
NEO1	NTN4
NEO1	CDON
NEO1	RGMA
MANBA	STOM
MANBA	FPR1
RDX	SLC9A1
RDX	SLC9A3R2
PARVA	TNS1
GPC1	HBEGF
GPC1	TGFB3
GPC1	TGFBR2
GPC1	VEGFA
EEF1B2	AHNAK
ANXA6	CAV3
LTBP1	TGFB3
LTBP1	CST3
UBE2V1	NFKBIA
UBE2V1	SMURF2
UBE2V1	TLR3
UBE2V1	ZBTB16
UBE2V1	IRAK1
UBE2V1	TLR4
UBE2V1	NEDD4L
UBE2V1	NEDD4
UBE2V1	LMO7
PNP	NAMPT
PNP	NT5E
EEA1	RAB31
HLA-C	SAMHD1
HLA-C	VCAM1
HLA-C	GBP1
HLA-C	KLRD1
HEBP2	CPPED1
MMP14	MMP15
MMP14	VEGFA
PRKCSH	CST3
DBNL	DLG2
DBNL	CST3
STC2	CST3
HLA-A	SAMHD1
HLA-A	VCAM1
HLA-A	GBP1
HLA-A	KLRD1
UBE2V2	SMURF2
UBE2V2	ZBTB16
UBE2V2	NEDD4L
UBE2V2	NEDD4
UBE2V2	LMO7
EZR	CDH1
EZR	SLC9A1
EZR	VCAM1
EZR	RDX
EZR	SLC9A3R2
VCP	CPPED1
GAA	SLC2A3
GAA	STOM
GAA	RAP2B
GAA	PLAU
GAA	ITGAM
GAA	FPR1
MATN3	CST3
NNMT	NAMPT
SCG2	CST3
RPS18	DOCK4
MYL9	MYLK
MYL9	PPP1CB
MARCKS	PRKCE
KRT17	KRT19
ZYX	TNS1
ZYX	CDH1
ZYX	F2R
ZYX	PIK3R1
PSMB1	NFKBIA
PSMB1	SMURF2
PSMB1	AJUBA
PSMB1	LIMD1
PSMB1	TNFRSF12A
LRP1	PLAU
LRP1	ITGAM
HPRT1	NT5E
PSMB5	NFKBIA
