#node1	node2
VCAM1	F2
VCAM1	PLG
VCAM1	LPL
VCAM1	CASP3
VCAM1	LEP
VCAM1	HNRNPD
VCAM1	TLN1
VCAM1	LPA
VCAM1	CSF1
VCAM1	CAV1
VCAM1	CTNNB1
VCAM1	FN1
VCAM1	ELN
VCAM1	TFRC
VCAM1	MSN
VCAM1	STAT1
VCAM1	AGT
VCAM1	EZR
VCAM1	CFH
VCAM1	SERPINC1
VCAM1	IL6R
VCAM1	PSMA7
VCAM1	PLAU
VCAM1	ENG
VCAM1	GSN
VCAM1	ABCA1
VCAM1	PSMB8
VCAM1	NEU1
VCAM1	HLA-C
VCAM1	HNRNPK
VCAM1	CTTN
VCAM1	POSTN
VCAM1	FSCN1
VCAM1	CXCL12
VCAM1	ITGB1
VCAM1	HLA-A
VCAM1	RDX
VCAM1	IFI30
VCAM1	SAA1
VCAM1	IL6
VCAM1	ADIPOQ
VCAM1	CD44
VCAM1	HLA-B
VCAM1	RHOA
VCAM1	CFAP97
VCAM1	DBNL
VCAM1	PALLD
VCAM1	WDR1
VCAM1	ANGPT1
VCAM1	B2M
VCAM1	LDLR
VCAM1	VEGFC
RRAD	CDO1
RRAD	KNDC1
RRAD	YWHAG
RRAD	PRKACA
RRAD	EEA1
RRAD	NME1
RRAD	TPM2
RRAD	YWHAZ
IL15RA	DPT
IL15RA	GRB2
IL15RA	JAK3
ROBO4	MEGF8
ROBO4	ARHGAP1
ROBO4	SLIT3
ROBO4	FN1
ROBO4	ENAH
ROBO4	CCDC120
FMN2	PFN1
FMN2	PFN2
FMN2	ARPC1A
FMN2	ACTR3
FMN2	MYO5B
FMN2	GREM2
FMN2	TPM1
FMN2	TPM3
FMN2	ACTR2
FMN2	CDC42
FMN2	RHOA
FMN2	FNBP1
FMN2	CDKN2A
FMN2	CFL1
HAS3	GFPT2
HAS3	UGDH
HAS3	UGP2
HAS3	ELN
HAS3	HAPLN3
HAS3	UAP1
HAS3	MATN1
HAS3	CD44
HAS3	PRG4
HAS3	HK1
HAS3	H6PD
CLDN1	MMP2
CLDN1	SRGN
CLDN1	CD81
CLDN1	FASN
CLDN1	MMP14
CLDN1	FLG
CLDN1	LDLR
RHOJ	VCL
RHOJ	MAPK1
RHOJ	ANGPTL1
RHOJ	ARHGAP20
RHOJ	ISM1
RHOJ	IQGAP1
RHOJ	ARHGDIA
RHOJ	NPM1
RHOJ	ARHGAP42
RHOJ	ARHGAP1
RHOJ	PLXND1
RHOJ	TUBB6
RHOJ	A2M
RHOJ	FN1
RHOJ	RAC1
RHOJ	FHL3
RHOJ	ACTR2
RHOJ	GDI2
RHOJ	CTNND1
RHOJ	CDC42
RHOJ	GDI1
RHOJ	RHOA
RHOJ	CFL1
RHOJ	MYO9B
