#node1	node2
TGFB3	A1BG
TGFB3	GPC1
TGFB3	KNG1
TGFB3	LUM
TGFB3	SERPING1
TGFB3	OLA1
TGFB3	APP
TGFB3	ALB
TGFB3	LTBP3
TGFB3	IGF1
TGFB3	PLG
TGFB3	CLU
TGFB3	SERPINF2
TGFB3	A2M
TGFB3	PPP1CA
TGFB3	BGN
TGFB3	GAS6
TGFB3	CFD
TGFB3	CAV1
TGFB3	CTNNB1
TGFB3	FN1
TGFB3	FMOD
TGFB3	SPTBN1
TGFB3	DYNLRB1
TGFB3	TGFB2
TGFB3	QSOX1
TGFB3	F5
TGFB3	ENG
TGFB3	PROS1
TGFB3	ACTN1
TGFB3	ALDOA
TGFB3	ITGB1
TGFB3	FKBP1A
TGFB3	LTBP1
TGFB3	IGF2
TGFB3	STRAP
TGFB3	AHSG
TGFB3	VEGFC
RGS3	GNAI2
KRT19	KRT14
KRT19	MAPK14
KRT19	KRT13
KRT19	KRT9
KRT19	KRT31
KRT19	KRT33B
KRT19	KRT5
KRT19	KRT1
KRT19	KRT6C
KRT19	KRT6B
KRT19	KRT85
KRT19	KRT84
KRT19	KRT82
KRT19	KRT10
KRT19	KRT83
KRT19	KRT16
KRT19	KRT78
KRT19	KRT17
KRT19	KRT2
KRT19	KRT76
KRT19	KRT77
KRT19	KRT6A
KRT19	KRT80
KRT19	AFP
KRT19	KRT4
DOK7	AGRN
IRAK2	LY96
IRAK2	TOLLIP
IRAK2	SNRNP200
IRAK2	UBC
KCNN4	PHPT1
KCNN4	CALM3
MAGI1	CTNNB1
STX1B	VAMP3
STX1B	YKT6
STX1B	NAPA
STX1B	STXBP1
STX1B	NSF
STX1B	SEC22B
FGFR2	MAPK1
FGFR2	FGF7
FGFR2	POLR2G
FGFR2	PTPN11
FGFR2	STAT1
FGFR2	GRB2
FGFR2	POLR2H
RASA1	MAPK1
RASA1	RRAS2
RASA1	PDGFRA
RASA1	PDGFRB
RASA1	ARHGAP1
RASA1	PDGFA
RASA1	GFRA1
RASA1	RHOA
RASA1	ANGPT1
P2RY2	KNG1
P2RY2	APP
P2RY2	F2
P2RY2	AGT
P2RY2	GNG12
P2RY2	GNAS
P2RY2	ANXA1
P2RY2	CXCL12
P2RY2	SAA1
P2RY2	GNB1
RGS16	GNAI2
KCNJ15	GNG12
KCNJ15	GNB1
PTGIR	PRKACA
PTGIR	VIP
PTGIR	GNG12
PTGIR	GNAS
PTGIR	GNB1
CDH1	VCL
CDH1	MAPK1
CDH1	NUTF2
CDH1	LAMB1
CDH1	VASP
CDH1	CAPNS1
CDH1	RAP1B
CDH1	APC
CDH1	MMP7
CDH1	ADAM10
CDH1	RAB7A
CDH1	IQGAP1
CDH1	CDH11
CDH1	CDH13
CDH1	CDH2
CDH1	RAB5A
CDH1	FER
CDH1	CA2
CDH1	IGF1
CDH1	CTNNA1
CDH1	PLG
CDH1	CASP3
CDH1	MET
CDH1	ZYX
CDH1	CTNNB1
CDH1	FN1
CDH1	GFRA1
CDH1	RAC1
CDH1	ADAM15
CDH1	ENAH
CDH1	EZR
CDH1	CTTN
CDH1	JUP
CDH1	ACTN1
CDH1	LIMA1
CDH1	CTNND1
CDH1	CDC42
CDH1	AP1M1
CDH1	IGF2
CDH1	CD44
CDH1	RHOA
CDH1	CAPN1
MSR1	COL1A1
MSR1	APOB
MSR1	APOA1
MSR1	APOE
MSR1	COL1A2
MSR1	HSP90B1
MSR1	COL3A1
MSR1	CALR
MSR1	COL4A2
MSR1	COL4A1
DOCK4	RPL18A
DOCK4	RPL19
DOCK4	RPS12
DOCK4	RAP1B
DOCK4	RPS16
DOCK4	PDGFRB
DOCK4	RPL8
DOCK4	RPS11
DOCK4	RPS3
DOCK4	RPS23
DOCK4	RPS9
DOCK4	RPL13
DOCK4	EEF2
DOCK4	RPL15
DOCK4	RPL38
DOCK4	RPL4
DOCK4	RPS15A
DOCK4	RPLP2
DOCK4	PLEC
DOCK4	EEF1G
DOCK4	EEF1A1
DOCK4	RPS2
DOCK4	RPS21
DOCK4	RPL3
DOCK4	RPL27A
DOCK4	RPLP1
DOCK4	RPS3A
DOCK4	RPSA
DOCK4	RPL22
DOCK4	RAC1
DOCK4	RPS26
DOCK4	RPL12
DOCK4	RPS27
DOCK4	RPL5
DOCK4	RPS4X
DOCK4	RPL10A
DOCK4	RPL11
DOCK4	RPS6
DOCK4	RPL13A
DOCK4	GRB2
DOCK4	RPL24
DOCK4	RPL14
DOCK4	RPS8
DOCK4	CDC42
DOCK4	RPS14
DOCK4	RPL31
DOCK4	RPS18
DOCK4	RPL35A
DOCK4	RPL23
DOCK4	RPL30
DOCK4	RPS20
DOCK4	RPS25
DOCK4	RPS13
DOCK4	RPL18
DOCK4	RPLP0
DOCK4	RPL26
DOCK4	RPL27
DOCK4	RPS19
DOCK4	RPS28
DOCK4	RPS5
DOCK4	RPS10
FZD7	CTNNB1
FZD7	RAC1
FZD7	SDC4
FZD7	WNT5B
MARCKS	CALM3
VEGFA	HMOX1
VEGFA	TIMP1
VEGFA	MMP2
VEGFA	TGFB1
VEGFA	SERPINE1
VEGFA	VTN
VEGFA	SPARC
VEGFA	SRGN
VEGFA	ISLR
VEGFA	ACTN4
VEGFA	SERPINF1
VEGFA	PDGFRA
VEGFA	THBS1
VEGFA	ITGAV
VEGFA	PDGFRB
VEGFA	A1BG
VEGFA	EP300
VEGFA	GPC1
VEGFA	KNG1
VEGFA	NRP1
VEGFA	IQGAP1
VEGFA	SERPING1
VEGFA	ITGA1
VEGFA	OLA1
VEGFA	APP
VEGFA	VCAM1
VEGFA	ALB
VEGFA	IGF1
VEGFA	CTNNA1
VEGFA	MMP14
VEGFA	PLG
VEGFA	PRKACA
VEGFA	ADAM17
VEGFA	LEP
VEGFA	CLU
VEGFA	MET
VEGFA	SERPINF2
VEGFA	A2M
VEGFA	GAS6
VEGFA	CFD
VEGFA	HSP90AA1
VEGFA	PTPN11
VEGFA	CTNNB1
VEGFA	FN1
VEGFA	COL18A1
VEGFA	COPS5
VEGFA	MYOF
VEGFA	NRP2
VEGFA	TGFB2
VEGFA	QSOX1
VEGFA	F5
VEGFA	ENG
VEGFA	HSPG2
VEGFA	DDAH2
VEGFA	GRB2
VEGFA	PROS1
VEGFA	ACTN1
VEGFA	ALDOA
VEGFA	CXCL12
VEGFA	ITGB1
VEGFA	CDC42
VEGFA	ELAVL1
VEGFA	IL6
VEGFA	IGF2
VEGFA	FGFR1
VEGFA	AHSG
VEGFA	CD44
VEGFA	RHOA
VEGFA	ANGPT1
VEGFA	VEGFC
CDON	MAPK14
CDON	CDO1
CDON	SPAG9
CDON	LRP2
CDON	CDH2
CDON	GAS1
CDON	CTNNA1
CDON	NEO1
CDON	CTNNB1
CDON	CDC42
CDON	BOC
SMAD3	MAPK1
SMAD3	RBX1
SMAD3	TGFB1
SMAD3	SERPINE1
SMAD3	MAPK14
SMAD3	SKP1
SMAD3	INHBA
SMAD3	EP300
SMAD3	USP15
SMAD3	KPNB1
SMAD3	INHBB
SMAD3	CAV1
SMAD3	PTPN11
