#node1	node2
ACTB	MYO18A
ACTB	ITGAM
ACTB	ABCB1
ACTB	VEGFA
ACTG1	ITGA3
ACTG1	ITGB4
ACTG1	NFKBIA
ACTG1	ITGB8
ACTG1	CAP2
ACTG1	CDH1
ACTG1	EGF
ACTG1	ITGB7
ACTG1	NOTCH1
ACTG1	TJP1
ACTG1	ITGA5
ACTG1	BAIAP2
ACTG1	MYLK
ACTG1	DMD
ACTG1	ITGA10
ACTG1	TLR4
ACTG1	HSPA1A
ACTG1	ITSN1
ACTG1	DAAM1
ACTG1	PPP1CB
ACTG1	RDX
ACTG1	ESR1
ACTG1	DBNL
ACTG1	EPS8L2
ACTG1	ITGAM
ACTG1	VEGFA
YWHAE	ITGB4
YWHAE	SORT1
YWHAE	AJUBA
YWHAE	IGF1R
YWHAE	ITGA5
YWHAE	PRKCE
YWHAE	RIN1
YWHAE	HSPA1A
YWHAE	IRS2
YWHAE	PPP1CB
YWHAE	ATP2B1
YWHAE	CDK5
ACTN4	ITGA3
ACTN4	TNS1
ACTN4	ITGB4
ACTN4	ITGB8
ACTN4	TGFB3
ACTN4	RARA
ACTN4	EGF
ACTN4	ITGB7
ACTN4	PTPRO
ACTN4	EPS8
ACTN4	TJP1
ACTN4	ITGA5
ACTN4	MICALL2
ACTN4	CTNNAL1
ACTN4	EPHA2
ACTN4	KIRREL
ACTN4	MYLK
ACTN4	ITGA10
ACTN4	PLCE1
ACTN4	AR
ACTN4	AHNAK
ACTN4	PODXL
ACTN4	SYNPO
ACTN4	MAGI1
ACTN4	ESR1
ACTN4	SLC9A3R2
ACTN4	PIK3R1
ACTN4	LMO7
ACTN4	VEGFA
C1S	EGF
GAPDH	SLC2A3
GAPDH	TNS1
GAPDH	NFKBIA
GAPDH	MMP15
GAPDH	TNFRSF10A
GAPDH	NAMPT
GAPDH	HBEGF
GAPDH	TGFB3
GAPDH	HSPB1
GAPDH	JAG1
GAPDH	NOTCH2
GAPDH	NT5E
GAPDH	MMP7
GAPDH	CDH1
GAPDH	SAMHD1
GAPDH	KCNN4
GAPDH	NOX4
GAPDH	TYRO3
GAPDH	MCAM
GAPDH	EGF
GAPDH	IGF1R
GAPDH	FCGR2A
GAPDH	PLIN2
GAPDH	NOTCH1
GAPDH	TJP1
GAPDH	CSF1R
GAPDH	VCAM1
GAPDH	TLR3
GAPDH	TNFRSF11B
GAPDH	ANPEP
GAPDH	INSR
GAPDH	CTLA4
GAPDH	GLUL
GAPDH	SPHK1
GAPDH	PTCH1
GAPDH	SMAD3
GAPDH	CAV1
GAPDH	CAV3
GAPDH	SEMA4F
GAPDH	EPHA2
GAPDH	FUT4
GAPDH	TGFBR2
GAPDH	MYLK
GAPDH	DMD
GAPDH	KRT19
GAPDH	DLL1
GAPDH	IL6R
GAPDH	IRAK1
GAPDH	PLAU
GAPDH	DKK1
GAPDH	TLR4
GAPDH	AR
GAPDH	HSPA1A
GAPDH	IRS2
GAPDH	TEK
GAPDH	JAK2
GAPDH	GAP43
GAPDH	PPP1CB
GAPDH	AREG
GAPDH	MBP
GAPDH	IL1R1
GAPDH	ESR1
GAPDH	CISH
GAPDH	FGFR2
GAPDH	AGTR1
GAPDH	CDK5
GAPDH	NEDD4
GAPDH	ANGPT1
GAPDH	CASP1
GAPDH	ITGAM
GAPDH	SLC2A14
GAPDH	ABCB1
GAPDH	VEGFA
COL5A2	CDH11
COL5A2	ITGA5
COL5A1	CDH11
COL5A1	NOTCH1
COL5A1	ITGA5
COL5A1	SMAD3
COL5A1	ADAM12
FLNB	ITGA3
FLNB	ITGB4
FLNB	ITGB8
FLNB	AJUBA
FLNB	ITGB7
FLNB	LIMD1
FLNB	ITGA5
FLNB	SMAD3
FLNB	ITGA10
FLNB	AHNAK
FLNB	MYO18A
ALB	TNS1
ALB	MMP15
ALB	CDIPT
ALB	TNFRSF10A
ALB	HBEGF
ALB	TFPI
ALB	TGFB3
ALB	HSPB1
ALB	JAG1
ALB	NT5E
ALB	MMP7
ALB	CDH1
ALB	SAMHD1
ALB	NOX4
ALB	TYRO3
ALB	MCAM
ALB	EGF
ALB	NRP1
ALB	IGF1R
ALB	FCGR2A
ALB	PLIN2
ALB	NOTCH1
ALB	TJP1
ALB	CSF1R
ALB	VCAM1
ALB	TLR3
ALB	TNFRSF11B
